trace,category,analysis,peak,pos_x,pos_y,neg_x,neg_y,width,h_res,delta,A,B,area,g,kind,meta_AbortOnError,meta_Accumulations,meta_AmbientHumidity,meta_AmbientTemperature1,meta_AmbientTemperature2,meta_AmpModSweepFrom,meta_AmpModSweepSteps,meta_AmpModSweepTo,meta_Angle,meta_BHold,meta_BHoldEnabled,meta_Bfrom,meta_Bto,meta_Concentration,meta_ConcentrationUnit,meta_DeviceName,meta_EnableFirstHarmonic,meta_EnableMeasurementCoupling,meta_EnableQFactorMeasurement,meta_ExtTrigLeadTime,meta_ExtTrigOnTime,meta_ExtTriggerEnabled,meta_FilterParameter,meta_FilterType,meta_Frequency,meta_GonFrom,meta_GonSteps,meta_GonTo,meta_KineticEnablePrematureCoupling,meta_KineticMode,meta_KineticPrematureCouplingTime,meta_KineticSamples,meta_KineticSamplingTime,meta_KineticTimeResolution,meta_KineticTotalTransientTime,meta_ManualTuning,meta_MarkerAmplitude,meta_MarkerEnabled,meta_MarkerEndField,meta_MarkerPosition,meta_MarkerStartField,meta_MicrowavePower,meta_Modulation,meta_ModulationFreq,meta_MotorizedStandardEnabled,meta_NL,meta_Name,meta_NonMarkerAmplitude,meta_OxygenContentFrom,meta_OxygenContentTo,meta_OxygenSeriesPressure,meta_OxygenSeriesSetupTime,meta_OxygenSeriesStepWidth,meta_OxygenSeriesUseSlope,meta_PhaseAngle,meta_PowSweepFrom,meta_PowSweepFullRange,meta_PowSweepSteps,meta_PowSweepTo,meta_QFactor,meta_RetryCount,meta_SpecialFilterParameter,meta_SpecialFilterType,meta_SweepTime,meta_TempFrom,meta_TempSetupTime,meta_TempTo,meta_TempUseSlope,meta_TempdT,meta_Temperature,meta_Timestamp,meta_UVEnabled,meta_UVIntensity,meta_UVLeadTime,meta_UVTime,meta_UVWavelength,meta_UseSpecialFilter,meta_XRayCurrent,meta_XRayEnabled,meta_XRayTime,meta_XRayVoltage
20250102_154856639_Pt1A-PostMolWash-IP-R1-2JAN2025.csv,analysis,ΔH_pp,1,60.1968366139436,1940.78280882836,72.1095351589193,-1837.68618387311,11.912698544975697,,,,,,,,True,1.0,0.0,0.0,0.0,0.01,10.0,1.0,0.0,0.0,False,0.0,250.0,0.0,,ESR5000 [11-0398],True,False,False,0.0,5.0,False,0.004,DIG,9.49427872360332,0.0,1.0,0.0,False,FieldSweep,10.0,2.0,0.0,0.001,10.0,False,,False,0.0,,0.0,13.803842646,0.05,100.0,False,828.479278173797,Pt1A-PostMolWash-IP-R1-2JAN2025,5742.41296954529,0.0,0.0,0.0,0.0,1.0,False,0.0,1.0,True,10.0,5.0,-1.0,0.0,0.0,,60.0,5.0,0.0,5.0,False,1.0,35.5635185241699,01/02/2025 15:47:45,False,0.0,0.0,0.0,0.0,False,0.0,False,3.0,35.0
20250102_154856639_Pt1A-PostMolWash-IP-R1-2JAN2025.csv,analysis,ΔH_pp,2,108.872647877465,2910.58436608864,115.643594059901,-2831.73207519251,6.770946182436006,,,,,,,,True,1.0,0.0,0.0,0.0,0.01,10.0,1.0,0.0,0.0,False,0.0,250.0,0.0,,ESR5000 [11-0398],True,False,False,0.0,5.0,False,0.004,DIG,9.49427872360332,0.0,1.0,0.0,False,FieldSweep,10.0,2.0,0.0,0.001,10.0,False,,False,0.0,,0.0,13.803842646,0.05,100.0,False,828.479278173797,Pt1A-PostMolWash-IP-R1-2JAN2025,5742.41296954529,0.0,0.0,0.0,0.0,1.0,False,0.0,1.0,True,10.0,5.0,-1.0,0.0,0.0,,60.0,5.0,0.0,5.0,False,1.0,35.5635185241699,01/02/2025 15:47:45,False,0.0,0.0,0.0,0.0,False,0.0,False,3.0,35.0
20250102_154856639_Pt1A-PostMolWash-IP-R1-2JAN2025.csv,analysis,FWHM,1,60.1968366139436,1940.78280882836,72.1095351589193,-1837.68618387311,20.633399135149745,,,,,,,,True,1.0,0.0,0.0,0.0,0.01,10.0,1.0,0.0,0.0,False,0.0,250.0,0.0,,ESR5000 [11-0398],True,False,False,0.0,5.0,False,0.004,DIG,9.49427872360332,0.0,1.0,0.0,False,FieldSweep,10.0,2.0,0.0,0.001,10.0,False,,False,0.0,,0.0,13.803842646,0.05,100.0,False,828.479278173797,Pt1A-PostMolWash-IP-R1-2JAN2025,5742.41296954529,0.0,0.0,0.0,0.0,1.0,False,0.0,1.0,True,10.0,5.0,-1.0,0.0,0.0,,60.0,5.0,0.0,5.0,False,1.0,35.5635185241699,01/02/2025 15:47:45,False,0.0,0.0,0.0,0.0,False,0.0,False,3.0,35.0
20250102_154856639_Pt1A-PostMolWash-IP-R1-2JAN2025.csv,analysis,FWHM,2,108.872647877465,2910.58436608864,115.643594059901,-2831.73207519251,11.727622803293691,,,,,,,,True,1.0,0.0,0.0,0.0,0.01,10.0,1.0,0.0,0.0,False,0.0,250.0,0.0,,ESR5000 [11-0398],True,False,False,0.0,5.0,False,0.004,DIG,9.49427872360332,0.0,1.0,0.0,False,FieldSweep,10.0,2.0,0.0,0.001,10.0,False,,False,0.0,,0.0,13.803842646,0.05,100.0,False,828.479278173797,Pt1A-PostMolWash-IP-R1-2JAN2025,5742.41296954529,0.0,0.0,0.0,0.0,1.0,False,0.0,1.0,True,10.0,5.0,-1.0,0.0,0.0,,60.0,5.0,0.0,5.0,False,1.0,35.5635185241699,01/02/2025 15:47:45,False,0.0,0.0,0.0,0.0,False,0.0,False,3.0,35.0
20250102_154856639_Pt1A-PostMolWash-IP-R1-2JAN2025.csv,lorentzian,Lorentzian,1,,,,,,66.01063799664148,9.853281665736038,28387.0868492067,372.70641966102585,,,derivative,True,1.0,0.0,0.0,0.0,0.01,10.0,1.0,0.0,0.0,False,0.0,250.0,0.0,,ESR5000 [11-0398],True,False,False,0.0,5.0,False,0.004,DIG,9.49427872360332,0.0,1.0,0.0,False,FieldSweep,10.0,2.0,0.0,0.001,10.0,False,,False,0.0,,0.0,13.803842646,0.05,100.0,False,828.479278173797,Pt1A-PostMolWash-IP-R1-2JAN2025,5742.41296954529,0.0,0.0,0.0,0.0,1.0,False,0.0,1.0,True,10.0,5.0,-1.0,0.0,0.0,,60.0,5.0,0.0,5.0,False,1.0,35.5635185241699,01/02/2025 15:47:45,False,0.0,0.0,0.0,0.0,False,0.0,False,3.0,35.0
20250102_154856639_Pt1A-PostMolWash-IP-R1-2JAN2025.csv,lorentzian,Lorentzian,2,,,,,,112.00071853000168,5.541394336220747,24531.166349867428,2221.1065762575968,,,derivative,True,1.0,0.0,0.0,0.0,0.01,10.0,1.0,0.0,0.0,False,0.0,250.0,0.0,,ESR5000 [11-0398],True,False,False,0.0,5.0,False,0.004,DIG,9.49427872360332,0.0,1.0,0.0,False,FieldSweep,10.0,2.0,0.0,0.001,10.0,False,,False,0.0,,0.0,13.803842646,0.05,100.0,False,828.479278173797,Pt1A-PostMolWash-IP-R1-2JAN2025,5742.41296954529,0.0,0.0,0.0,0.0,1.0,False,0.0,1.0,True,10.0,5.0,-1.0,0.0,0.0,,60.0,5.0,0.0,5.0,False,1.0,35.5635185241699,01/02/2025 15:47:45,False,0.0,0.0,0.0,0.0,False,0.0,False,3.0,35.0
20250102_155152123_Pt1A-PostMolWash-IP-R2-2JAN2025.csv,analysis,ΔH_pp,1,60.0843347389123,1893.5150025145,72.2762046034101,-1799.65616030072,12.191869864497797,,,,,,,,True,1.0,0.0,0.0,0.0,0.01,10.0,1.0,0.0,0.0,False,0.0,250.0,0.0,,ESR5000 [11-0398],True,False,False,0.0,5.0,False,0.004,DIG,9.49366976908893,0.0,1.0,0.0,False,FieldSweep,10.0,2.0,0.0,0.001,10.0,False,,False,0.0,,0.0,13.803842646,0.05,100.0,False,722.121551570896,Pt1A-PostMolWash-IP-R2-2JAN2025,5593.38642479468,0.0,0.0,0.0,0.0,1.0,False,0.0,1.0,True,10.0,5.0,-1.0,0.0,0.0,,60.0,5.0,0.0,5.0,False,1.0,35.4317054748535,01/02/2025 15:50:45,False,0.0,0.0,0.0,0.0,False,0.0,False,3.0,35.0
20250102_155152123_Pt1A-PostMolWash-IP-R2-2JAN2025.csv,analysis,ΔH_pp,2,109.076817946966,2833.96456324048,115.672761212687,-2759.38188352623,6.595943265721004,,,,,,,,True,1.0,0.0,0.0,0.0,0.01,10.0,1.0,0.0,0.0,False,0.0,250.0,0.0,,ESR5000 [11-0398],True,False,False,0.0,5.0,False,0.004,DIG,9.49366976908893,0.0,1.0,0.0,False,FieldSweep,10.0,2.0,0.0,0.001,10.0,False,,False,0.0,,0.0,13.803842646,0.05,100.0,False,722.121551570896,Pt1A-PostMolWash-IP-R2-2JAN2025,5593.38642479468,0.0,0.0,0.0,0.0,1.0,False,0.0,1.0,True,10.0,5.0,-1.0,0.0,0.0,,60.0,5.0,0.0,5.0,False,1.0,35.4317054748535,01/02/2025 15:50:45,False,0.0,0.0,0.0,0.0,False,0.0,False,3.0,35.0
20250102_155152123_Pt1A-PostMolWash-IP-R2-2JAN2025.csv,analysis,FWHM,1,60.0843347389123,1893.5150025145,72.2762046034101,-1799.65616030072,21.116938044578067,,,,,,,,True,1.0,0.0,0.0,0.0,0.01,10.0,1.0,0.0,0.0,False,0.0,250.0,0.0,,ESR5000 [11-0398],True,False,False,0.0,5.0,False,0.004,DIG,9.49366976908893,0.0,1.0,0.0,False,FieldSweep,10.0,2.0,0.0,0.001,10.0,False,,False,0.0,,0.0,13.803842646,0.05,100.0,False,722.121551570896,Pt1A-PostMolWash-IP-R2-2JAN2025,5593.38642479468,0.0,0.0,0.0,0.0,1.0,False,0.0,1.0,True,10.0,5.0,-1.0,0.0,0.0,,60.0,5.0,0.0,5.0,False,1.0,35.4317054748535,01/02/2025 15:50:45,False,0.0,0.0,0.0,0.0,False,0.0,False,3.0,35.0
20250102_155152123_Pt1A-PostMolWash-IP-R2-2JAN2025.csv,analysis,FWHM,2,109.076817946966,2833.96456324048,115.672761212687,-2759.38188352623,11.424508860070564,,,,,,,,True,1.0,0.0,0.0,0.0,0.01,10.0,1.0,0.0,0.0,False,0.0,250.0,0.0,,ESR5000 [11-0398],True,False,False,0.0,5.0,False,0.004,DIG,9.49366976908893,0.0,1.0,0.0,False,FieldSweep,10.0,2.0,0.0,0.001,10.0,False,,False,0.0,,0.0,13.803842646,0.05,100.0,False,722.121551570896,Pt1A-PostMolWash-IP-R2-2JAN2025,5593.38642479468,0.0,0.0,0.0,0.0,1.0,False,0.0,1.0,True,10.0,5.0,-1.0,0.0,0.0,,60.0,5.0,0.0,5.0,False,1.0,35.4317054748535,01/02/2025 15:50:45,False,0.0,0.0,0.0,0.0,False,0.0,False,3.0,35.0
20250102_155152123_Pt1A-PostMolWash-IP-R2-2JAN2025.csv,lorentzian,Lorentzian,1,,,,,,66.07261095650027,9.748514799096759,27490.455788080442,67.39225251714899,,,derivative,True,1.0,0.0,0.0,0.0,0.01,10.0,1.0,0.0,0.0,False,0.0,250.0,0.0,,ESR5000 [11-0398],True,False,False,0.0,5.0,False,0.004,DIG,9.49366976908893,0.0,1.0,0.0,False,FieldSweep,10.0,2.0,0.0,0.001,10.0,False,,False,0.0,,0.0,13.803842646,0.05,100.0,False,722.121551570896,Pt1A-PostMolWash-IP-R2-2JAN2025,5593.38642479468,0.0,0.0,0.0,0.0,1.0,False,0.0,1.0,True,10.0,5.0,-1.0,0.0,0.0,,60.0,5.0,0.0,5.0,False,1.0,35.4317054748535,01/02/2025 15:50:45,False,0.0,0.0,0.0,0.0,False,0.0,False,3.0,35.0
20250102_155152123_Pt1A-PostMolWash-IP-R2-2JAN2025.csv,lorentzian,Lorentzian,2,,,,,,112.05595758730804,5.515078031069705,23755.93093020682,2231.961860770031,,,derivative,True,1.0,0.0,0.0,0.0,0.01,10.0,1.0,0.0,0.0,False,0.0,250.0,0.0,,ESR5000 [11-0398],True,False,False,0.0,5.0,False,0.004,DIG,9.49366976908893,0.0,1.0,0.0,False,FieldSweep,10.0,2.0,0.0,0.001,10.0,False,,False,0.0,,0.0,13.803842646,0.05,100.0,False,722.121551570896,Pt1A-PostMolWash-IP-R2-2JAN2025,5593.38642479468,0.0,0.0,0.0,0.0,1.0,False,0.0,1.0,True,10.0,5.0,-1.0,0.0,0.0,,60.0,5.0,0.0,5.0,False,1.0,35.4317054748535,01/02/2025 15:50:45,False,0.0,0.0,0.0,0.0,False,0.0,False,3.0,35.0
20250102_155526104_Pt1A-PostMolWash-IP-R3-2JAN2025.csv,analysis,ΔH_pp,1,61.1135185586426,2052.07405570653,72.9720495341589,-1934.34710220071,11.858530975516295,,,,,,,,True,1.0,0.0,0.0,0.0,0.01,10.0,1.0,0.0,0.0,False,0.0,250.0,0.0,,ESR5000 [11-0398],True,False,False,0.0,5.0,False,0.004,DIG,9.49366312081847,0.0,1.0,0.0,False,FieldSweep,10.0,2.0,0.0,0.001,10.0,False,,False,0.0,,0.0,13.803842646,0.05,100.0,False,802.167371443669,Pt1A-PostMolWash-IP-R3-2JAN2025,6017.01506661434,0.0,0.0,0.0,0.0,1.0,False,0.0,1.0,True,10.0,5.0,-1.0,0.0,0.0,,60.0,5.0,0.0,5.0,False,1.0,35.3918075561523,01/02/2025 15:54:19,False,0.0,0.0,0.0,0.0,False,0.0,False,3.0,35.0
20250102_155526104_Pt1A-PostMolWash-IP-R3-2JAN2025.csv,analysis,ΔH_pp,2,110.701845030751,3051.03304552237,117.426957115952,-2965.96321998451,6.725112085201005,,,,,,,,True,1.0,0.0,0.0,0.0,0.01,10.0,1.0,0.0,0.0,False,0.0,250.0,0.0,,ESR5000 [11-0398],True,False,False,0.0,5.0,False,0.004,DIG,9.49366312081847,0.0,1.0,0.0,False,FieldSweep,10.0,2.0,0.0,0.001,10.0,False,,False,0.0,,0.0,13.803842646,0.05,100.0,False,802.167371443669,Pt1A-PostMolWash-IP-R3-2JAN2025,6017.01506661434,0.0,0.0,0.0,0.0,1.0,False,0.0,1.0,True,10.0,5.0,-1.0,0.0,0.0,,60.0,5.0,0.0,5.0,False,1.0,35.3918075561523,01/02/2025 15:54:19,False,0.0,0.0,0.0,0.0,False,0.0,False,3.0,35.0
20250102_155526104_Pt1A-PostMolWash-IP-R3-2JAN2025.csv,analysis,FWHM,1,61.1135185586426,2052.07405570653,72.9720495341589,-1934.34710220071,20.539578152723543,,,,,,,,True,1.0,0.0,0.0,0.0,0.01,10.0,1.0,0.0,0.0,False,0.0,250.0,0.0,,ESR5000 [11-0398],True,False,False,0.0,5.0,False,0.004,DIG,9.49366312081847,0.0,1.0,0.0,False,FieldSweep,10.0,2.0,0.0,0.001,10.0,False,,False,0.0,,0.0,13.803842646,0.05,100.0,False,802.167371443669,Pt1A-PostMolWash-IP-R3-2JAN2025,6017.01506661434,0.0,0.0,0.0,0.0,1.0,False,0.0,1.0,True,10.0,5.0,-1.0,0.0,0.0,,60.0,5.0,0.0,5.0,False,1.0,35.3918075561523,01/02/2025 15:54:19,False,0.0,0.0,0.0,0.0,False,0.0,False,3.0,35.0
20250102_155526104_Pt1A-PostMolWash-IP-R3-2JAN2025.csv,analysis,FWHM,2,110.701845030751,3051.03304552237,117.426957115952,-2965.96321998451,11.648235818163617,,,,,,,,True,1.0,0.0,0.0,0.0,0.01,10.0,1.0,0.0,0.0,False,0.0,250.0,0.0,,ESR5000 [11-0398],True,False,False,0.0,5.0,False,0.004,DIG,9.49366312081847,0.0,1.0,0.0,False,FieldSweep,10.0,2.0,0.0,0.001,10.0,False,,False,0.0,,0.0,13.803842646,0.05,100.0,False,802.167371443669,Pt1A-PostMolWash-IP-R3-2JAN2025,6017.01506661434,0.0,0.0,0.0,0.0,1.0,False,0.0,1.0,True,10.0,5.0,-1.0,0.0,0.0,,60.0,5.0,0.0,5.0,False,1.0,35.3918075561523,01/02/2025 15:54:19,False,0.0,0.0,0.0,0.0,False,0.0,False,3.0,35.0
20250102_155526104_Pt1A-PostMolWash-IP-R3-2JAN2025.csv,lorentzian,Lorentzian,1,,,,,,67.07848157962947,9.907496790593795,30113.34239669351,124.29385914917546,,,derivative,True,1.0,0.0,0.0,0.0,0.01,10.0,1.0,0.0,0.0,False,0.0,250.0,0.0,,ESR5000 [11-0398],True,False,False,0.0,5.0,False,0.004,DIG,9.49366312081847,0.0,1.0,0.0,False,FieldSweep,10.0,2.0,0.0,0.001,10.0,False,,False,0.0,,0.0,13.803842646,0.05,100.0,False,802.167371443669,Pt1A-PostMolWash-IP-R3-2JAN2025,6017.01506661434,0.0,0.0,0.0,0.0,1.0,False,0.0,1.0,True,10.0,5.0,-1.0,0.0,0.0,,60.0,5.0,0.0,5.0,False,1.0,35.3918075561523,01/02/2025 15:54:19,False,0.0,0.0,0.0,0.0,False,0.0,False,3.0,35.0
20250102_155526104_Pt1A-PostMolWash-IP-R3-2JAN2025.csv,lorentzian,Lorentzian,2,,,,,,113.89023175720456,5.612049511869442,25987.30652896727,2409.324380022206,,,derivative,True,1.0,0.0,0.0,0.0,0.01,10.0,1.0,0.0,0.0,False,0.0,250.0,0.0,,ESR5000 [11-0398],True,False,False,0.0,5.0,False,0.004,DIG,9.49366312081847,0.0,1.0,0.0,False,FieldSweep,10.0,2.0,0.0,0.001,10.0,False,,False,0.0,,0.0,13.803842646,0.05,100.0,False,802.167371443669,Pt1A-PostMolWash-IP-R3-2JAN2025,6017.01506661434,0.0,0.0,0.0,0.0,1.0,False,0.0,1.0,True,10.0,5.0,-1.0,0.0,0.0,,60.0,5.0,0.0,5.0,False,1.0,35.3918075561523,01/02/2025 15:54:19,False,0.0,0.0,0.0,0.0,False,0.0,False,3.0,35.0
